30,30,4,4,5,5,n,n
30,30,4,5,5,5,n,n
25,35,8,11,1,1,n,n
24,36,12,8,1,1,n,n
25,35,7,14,1,3,d,n
24,36,8,9,1,3,d,n
23,37,4,5,1,5,d,n
22,38,8,3,5,2,n,d
24,36,14,7,1,4,d,n
23,37,12,7,1,5,d,n
22,38,10,12,1,2,d,n
21,39,11,3,5,1,n,d
22,38,10,8,1,2,c,n
24,36,10,13,1,2,d,n
23,37,12,14,1,1,n,n
22,38,3,13,1,5,d,n
21,39,6,14,1,2,d,n
20,40,6,12,1,2,d,n
19,41,12,6,1,1,n,n
20,40,8,6,1,2,c,n
22,38,6,5,1,3,c,n
25,35,7,9,1,2,c,n
23,37,12,3,5,1,n,d
24,36,4,2,5,5,n,n
29,31,14,5,5,1,n,d
30,30,5,11,1,4,d,n
29,31,6,12,1,2,d,n
28,32,9,13,1,2,d,n
27,33,7,6,1,4,d,n
26,34,4,14,1,5,d,n
25,35,6,14,1,4,d,n
24,36,8,3,5,1,n,d
25,35,7,11,1,3,d,n
24,36,2,8,1,5,d,n
23,37,10,11,1,1,n,n
22,38,14,13,1,1,n,n
23,37,12,7,1,5,d,n
22,38,6,10,1,3,d,n
21,39,14,14,1,4,d,n
20,40,3,8,1,5,d,n
19,41,3,9,1,5,d,n
18,42,11,6,1,1,n,n
19,41,3,13,1,5,d,n
18,42,13,13,1,4,d,n
17,43,13,2,5,1,n,d
18,42,7,5,1,3,c,n
21,39,9,4,5,3,n,d
24,36,2,13,1,5,d,n
23,37,10,14,1,2,d,n
22,38,13,7,1,1,n,n
23,37,10,4,5,3,n,d
26,34,12,3,5,1,n,d
27,33,13,6,1,1,n,n
28,32,3,6,5,5,n,n
23,37,5,9,1,3,d,n
22,38,13,9,1,5,d,n
21,39,13,12,1,5,d,n
20,40,11,2,5,1,n,d
21,39,13,3,5,1,n,d
22,38,5,8,1,4,d,n
21,39,2,11,1,5,d,n
20,40,4,3,5,5,n,n
25,35,7,9,1,3,d,n
24,36,3,4,5,5,n,n
19,41,12,6,1,4,d,n
18,42,2,10,1,5,d,n
17,43,3,10,1,5,d,n
16,44,2,3,5,5,n,n
11,49,10,7,1,2,c,n
13,47,10,2,5,1,n,d
14,46,6,5,1,4,d,n
13,47,10,9,1,1,n,n
14,46,9,11,1,1,n,n
13,47,14,10,1,4,d,n
12,48,3,6,1,5,d,n
11,49,4,2,5,5,n,n
16,44,4,12,1,5,d,n
15,45,4,13,1,5,d,n
14,46,6,10,1,2,d,n
13,47,11,6,1,1,n,n
14,46,10,13,1,3,d,n
13,47,6,10,5,2,n,c
8,52,7,12,1,2,d,n
7,53,6,10,1,2,d,n
6,54,9,14,1,1,n,n
5,55,2,8,1,5,d,n
4,56,2,10,1,4,d,n
3,57,11,4,3,3,n,n
6,54,7,2,5,2,n,c
11,49,11,9,1,1,n,n
12,48,12,9,1,5,d,n
11,49,2,13,1,5,d,n
10,50,11,2,5,4,n,d
14,46,3,6,1,5,d,n
13,47,5,7,1,4,d,n
12,48,7,14,1,4,d,n
11,49,3,8,1,5,d,n
10,50,5,3,5,2,n,c
15,45,6,4,5,4,n,c
20,40,7,9,1,4,d,n
19,41,5,9,1,3,d,n
18,42,14,9,1,5,d,n
17,43,7,12,1,4,d,n
16,44,9,4,5,2,n,d
18,42,2,11,1,5,d,n
17,43,14,13,1,1,n,n
18,42,13,6,5,1,n,d
19,41,11,9,1,5,d,n
18,42,12,10,1,1,n,n
19,41,4,6,1,5,d,n
18,42,3,8,1,5,d,n
17,43,8,13,1,1,n,n
16,44,8,10,1,3,c,n
13,47,3,4,5,5,n,n
8,52,11,5,1,4,d,n
7,53,7,8,1,2,d,n
6,54,6,11,1,2,d,n
5,55,3,7,1,5,d,n
4,56,13,11,1,1,n,n
5,55,12,4,5,5,n,n
10,50,10,3,5,3,n,d
13,47,11,9,1,1,n,n
14,46,12,4,5,1,n,d
15,45,4,5,1,5,d,n
14,46,8,11,1,3,d,n
13,47,3,4,5,5,n,n
8,52,14,12,1,4,d,n
7,53,2,3,5,5,n,n
2,58,5,5,1,2,c,n
2,58,5,3,2,2,n,n
4,56,14,3,4,1,n,d
5,55,12,13,1,1,n,n
4,56,12,6,1,1,n,n
5,55,7,7,1,2,c,n
5,55,4,2,5,5,n,n
10,50,10,13,1,3,d,n
9,51,3,13,1,5,d,n
8,52,2,5,1,5,d,n
7,53,5,10,1,3,c,n
4,56,12,4,4,1,n,d
5,55,6,9,1,3,d,n
4,56,12,9,1,1,n,n
5,55,14,10,1,5,d,n
4,56,11,14,1,1,n,n
3,57,14,3,3,1,n,d
4,56,11,6,1,1,n,n
5,55,14,11,1,1,n,n
6,54,12,7,1,1,n,n
7,53,10,9,1,3,d,n
6,54,12,4,5,5,n,n
11,49,4,9,1,5,d,n
10,50,12,3,5,1,n,d
11,49,14,7,1,1,n,n
12,48,3,8,1,5,d,n
11,49,8,5,1,1,n,n
12,48,2,11,1,5,d,n
11,49,11,4,5,4,n,d
15,45,13,2,5,5,n,n
20,40,5,11,1,4,d,n
19,41,5,8,5,3,n,c
14,46,7,2,5,2,n,c
19,41,11,11,1,4,d,n
18,42,10,2,5,2,n,d
20,40,4,4,5,5,n,n
20,40,7,9,1,4,d,n
19,41,13,3,5,1,n,d
20,40,5,14,1,2,d,n
19,41,2,10,1,5,d,n
18,42,12,8,1,1,n,n
19,41,4,10,1,5,d,n
18,42,7,5,5,3,n,c
23,37,9,9,1,2,d,n
22,38,12,14,1,4,d,n
21,39,14,13,1,4,d,n
20,40,9,8,1,1,n,n
21,39,13,5,1,1,n,n
22,38,4,3,5,5,n,n
27,33,7,14,1,3,d,n
26,34,3,7,1,5,d,n
25,35,8,14,1,1,n,n
24,36,2,3,5,5,n,n
19,41,8,7,1,2,c,n
21,39,14,11,1,1,n,n
22,38,9,12,1,3,d,n
21,39,8,13,1,3,d,n
20,40,9,4,5,2,n,d
22,38,6,11,1,4,d,n
21,39,6,13,1,4,d,n
20,40,14,5,1,1,n,n
21,39,9,7,1,3,c,n
24,36,11,7,1,4,d,n
23,37,4,7,1,5,d,n
22,38,3,14,1,5,d,n
21,39,8,8,1,1,n,n
21,39,7,8,1,2,d,n
20,40,5,9,1,2,c,n
18,42,11,12,1,5,d,n
17,43,9,8,1,2,c,n
19,41,10,2,5,1,n,d
20,40,7,13,1,4,d,n
19,41,6,9,1,2,c,n
17,43,3,12,5,5,n,n
12,48,9,13,1,1,n,n
11,49,3,5,1,5,d,n
10,50,8,4,5,2,n,d
12,48,4,9,1,5,d,n
11,49,10,3,5,1,n,d
12,48,2,9,1,5,d,n
11,49,7,9,1,4,d,n
10,50,4,6,1,5,d,n
9,51,7,5,1,3,c,n
12,48,11,14,1,5,d,n
11,49,8,5,1,1,n,n
12,48,3,8,1,5,d,n
11,49,6,8,1,2,c,n
9,51,4,3,5,5,n,n
14,46,3,6,1,5,d,n
13,47,2,4,5,5,n,n
8,52,3,13,1,5,d,n
7,53,5,6,1,4,d,n
6,54,12,3,5,1,n,d
7,53,5,13,1,3,d,n
6,54,8,3,5,3,n,d
9,51,3,9,1,5,d,n
8,52,13,7,1,1,n,n
9,51,13,6,1,1,n,n
10,50,8,4,5,2,n,d
12,48,10,12,1,2,d,n
11,49,14,11,1,1,n,n
12,48,14,2,5,1,n,d
13,47,8,9,1,2,d,n
12,48,11,9,1,4,d,n
11,49,2,13,1,5,d,n
10,50,11,13,1,1,n,n
9,51,3,9,1,5,d,n
8,52,12,2,5,4,n,d
12,48,4,6,1,5,d,n
11,49,14,6,1,4,d,n
10,50,13,3,5,1,n,d
11,49,3,14,1,5,d,n
10,50,2,8,1,5,d,n
9,51,6,9,1,3,c,n
6,54,6,10,1,4,d,n
5,55,5,4,5,2,n,c
10,50,5,11,1,4,d,n
9,51,14,5,1,1,n,n
10,50,12,8,1,1,n,n
11,49,7,10,1,4,d,n
10,50,12,4,5,4,n,d
14,46,4,6,1,5,d,n
13,47,4,12,1,5,d,n
12,48,4,2,5,5,n,n
17,43,10,4,5,2,n,d
19,41,14,14,1,1,n,n
19,41,12,10,1,4,d,n
18,42,12,3,5,4,n,d
22,38,4,11,5,5,n,n
17,43,14,8,1,1,n,n
18,42,2,12,1,5,d,n
17,43,2,12,1,5,d,n
16,44,7,4,5,4,n,c
21,39,5,6,1,3,c,n
18,42,13,7,1,1,n,n
19,41,12,7,1,4,d,n
18,42,14,3,5,1,n,d
19,41,3,4,5,5,n,n
14,46,12,4,5,1,n,d
15,45,8,6,5,2,n,d
17,43,9,8,1,3,c,n
20,40,4,6,1,5,d,n
19,41,7,2,5,3,n,c
24,36,13,7,1,5,d,n
23,37,3,14,1,5,d,n
22,38,6,5,1,2,c,n
24,36,2,10,1,5,d,n
23,37,12,13,1,1,n,n
22,38,12,11,1,1,n,n
23,37,3,9,1,5,d,n
22,38,6,6,1,2,d,n
21,39,13,12,1,1,n,n
22,38,4,4,5,5,n,n
22,38,13,3,5,1,n,d
23,37,11,12,1,1,n,n
22,38,7,4,5,3,n,c
27,33,5,3,5,2,n,c
32,28,7,5,5,2,n,c
37,23,3,10,1,5,d,n
36,24,9,9,1,1,n,n
36,24,4,10,1,5,d,n
35,25,3,10,1,5,d,n
34,26,5,4,5,3,n,c
39,21,13,2,5,1,n,d
40,20,9,4,5,3,n,d
43,17,11,12,1,4,d,n
42,18,13,6,1,5,d,n
41,19,6,7,1,4,d,n
40,20,10,12,1,1,n,n
39,21,6,7,1,4,d,n
38,22,3,2,5,5,n,n
43,17,13,2,5,1,n,d
44,16,11,8,1,1,n,n
45,15,5,14,5,2,n,c
40,20,2,14,1,5,d,n
39,21,11,8,1,1,n,n
40,20,3,4,5,5,n,n
35,25,13,13,1,5,d,n
34,26,8,12,1,1,n,n
33,27,2,14,1,5,d,n
32,28,4,4,5,5,n,n
32,28,3,11,1,5,d,n
31,29,2,6,1,5,d,n
30,30,8,14,1,3,d,n
29,31,7,7,1,2,d,n
28,32,2,7,1,5,d,n
27,33,2,5,1,5,d,n
26,34,11,6,1,1,n,n
27,33,13,6,1,1,n,n
28,32,12,11,1,4,d,n
27,33,11,3,5,1,n,d
28,32,14,4,5,1,n,d
29,31,6,9,1,3,c,n
26,34,12,2,5,1,n,d
27,33,7,4,5,3,n,c
32,28,4,6,5,5,n,n
27,33,6,11,1,3,d,n
26,34,12,14,1,4,d,n
25,35,12,11,1,1,n,n
26,34,11,9,1,4,d,n
25,35,5,6,1,3,c,n
22,38,13,8,1,1,n,n
23,37,9,2,5,2,n,d
25,35,11,11,1,1,n,n
25,35,13,3,5,5,n,n
30,30,7,14,1,2,d,n
29,31,11,13,1,4,d,n
28,32,8,12,1,2,d,n
27,33,3,10,1,5,d,n
26,34,14,6,1,1,n,n
27,33,3,8,1,5,d,n
26,34,6,2,5,3,n,c
31,29,8,10,1,2,c,n
29,31,8,14,1,2,d,n
28,32,13,7,1,5,d,n
27,33,6,5,1,4,d,n
26,34,13,7,1,1,n,n
27,33,6,14,1,3,d,n
26,34,13,12,1,4,d,n
25,35,13,4,5,4,n,d
29,31,12,6,5,1,n,d
30,30,6,4,5,3,n,c
35,25,6,6,1,2,c,n
35,25,10,7,1,3,c,n
38,22,7,10,1,2,d,n
37,23,5,2,5,3,n,c
42,18,12,14,1,5,d,n
41,19,3,3,5,5,n,n
41,19,8,2,5,3,n,d
44,16,9,6,5,3,n,d
47,13,8,10,1,2,d,n
46,14,6,5,1,2,c,n
48,12,14,4,5,1,n,d
49,11,14,11,1,1,n,n
50,10,2,12,1,2,d,n
49,11,7,6,1,2,c,n
51,9,5,3,5,2,n,c
56,4,14,10,1,1,n,n
57,3,7,6,1,2,c,n
59,1,3,8,1,1,n,n
58,2,13,12,1,2,d,n
57,3,8,7,1,2,d,n
56,4,9,6,1,2,c,n
58,2,8,11,1,2,d,n
57,3,2,6,1,2,c,n
55,5,11,5,1,1,n,n
56,4,8,9,1,2,d,n
55,5,9,13,1,2,d,n
54,6,14,4,5,4,n,d
58,2,4,12,1,2,d,n
57,3,7,2,3,2,n,d
59,1,5,5,1,1,n,n
59,1,3,4,1,1,n,n
58,2,9,13,1,2,d,n
57,3,6,2,3,2,n,d
59,1,14,11,1,1,n,n
