30,30,3,7,1,5,d,n
29,31,6,13,1,2,d,n
28,32,3,9,1,5,d,n
27,33,5,3,5,3,n,d
30,30,2,7,1,5,d,n
29,31,6,13,1,3,d,n
28,32,10,6,1,2,d,n
27,33,4,5,5,5,n,n
22,38,7,9,1,3,d,n
21,39,12,10,5,5,n,n
26,34,14,13,1,5,d,n
25,35,2,3,5,5,n,n
20,40,9,6,1,3,c,n
23,37,5,6,1,3,c,n
20,40,2,8,1,5,d,n
19,41,6,8,1,4,d,n
18,42,13,9,1,1,n,n
19,41,8,13,1,1,n,n
18,42,2,14,1,5,d,n
17,43,12,9,1,1,n,n
18,42,13,12,1,1,n,n
19,41,13,7,1,5,d,n
18,42,5,2,5,3,n,c
23,37,10,7,1,2,d,n
22,38,7,14,5,2,n,c
17,43,2,2,5,5,n,n
17,43,2,5,5,5,n,n
12,48,6,14,5,4,n,c
7,53,14,3,5,1,n,d
8,52,11,14,1,1,n,n
7,53,8,12,1,1,n,n
6,54,3,14,1,5,d,n
5,55,5,11,1,3,d,n
4,56,9,13,1,2,d,n
3,57,6,11,1,2,d,n
2,58,8,8,1,2,d,n
1,59,9,3,1,1,n,n
2,58,2,10,2,2,n,n
