30,30,12,2,5,1,n,d
31,29,11,14,1,1,n,n
30,30,2,3,5,5,n,n
25,35,11,14,5,1,n,d
26,34,4,13,1,5,d,n
25,35,5,7,1,3,d,n
24,36,5,4,5,2,n,c
29,31,13,11,1,1,n,n
30,30,4,5,5,5,n,n
25,35,9,5,1,2,c,n
27,33,10,7,1,3,d,n
26,34,7,6,1,2,c,n
28,32,3,11,5,5,n,n
23,37,8,4,5,3,n,d
26,34,8,7,1,3,d,n
25,35,3,5,5,5,n,n
20,40,3,4,1,5,c,n
15,45,13,10,5,1,n,d
16,44,11,11,1,5,d,n
15,45,14,11,1,5,d,n
14,46,10,3,5,1,n,d
15,45,4,3,5,5,n,n
20,40,3,8,1,5,d,n
19,41,4,10,5,5,n,n
14,46,6,14,1,2,d,n
13,47,13,3,5,4,n,d
17,43,8,13,1,1,n,n
16,44,2,14,1,5,d,n
15,45,5,10,1,2,d,n
14,46,8,10,1,1,n,n
13,47,5,14,1,2,d,n
12,48,3,4,5,5,n,n
7,53,4,2,1,5,c,n
12,48,11,3,1,1,n,n
13,47,10,12,5,2,n,d
15,45,3,14,1,5,d,n
14,46,11,14,1,1,n,n
13,47,10,6,1,2,c,n
15,45,5,4,5,3,n,c
20,40,2,14,1,5,d,n
19,41,12,12,1,1,n,n
19,41,5,11,1,4,d,n
18,42,10,13,1,3,d,n
17,43,9,14,1,3,d,n
16,44,13,4,5,1,n,d
17,43,5,3,1,3,c,n
20,40,2,9,1,5,d,n
19,41,13,8,1,1,n,n
20,40,3,3,1,5,c,n
20,40,4,4,1,5,c,n
20,40,3,10,5,5,n,n
15,45,8,3,5,1,n,d
16,44,12,12,1,4,d,n
15,45,10,4,5,1,n,d
16,44,8,2,1,3,c,n
19,41,3,8,1,5,d,n
18,42,12,8,1,4,d,n
17,43,14,10,5,5,n,n
22,38,10,7,1,3,d,n
21,39,14,8,1,1,n,n
22,38,3,12,1,5,d,n
21,39,8,3,5,1,n,d
22,38,9,10,1,2,d,n
21,39,3,5,5,5,n,n
16,44,2,10,1,5,d,n
15,45,2,2,1,5,c,n
15,45,12,5,1,1,n,n
16,44,14,7,1,1,n,n
17,43,6,9,1,4,d,n
16,44,14,5,1,4,c,n
20,40,12,14,5,1,n,d
21,39,6,9,1,2,d,n
20,40,2,6,1,5,c,n
15,45,11,2,5,5,n,n
20,40,12,2,5,4,n,d
24,36,2,9,1,5,d,n
23,37,12,10,1,1,n,n
24,36,8,3,1,3,c,n
27,33,12,7,1,1,n,n
28,32,8,7,1,2,d,n
27,33,9,6,1,1,n,n
28,32,5,7,1,3,d,n
27,33,11,10,5,5,n,n
32,28,3,7,1,5,d,n
31,29,2,5,5,5,n,n
26,34,8,11,1,2,d,n
25,35,7,13,1,4,d,n
24,36,14,10,1,1,n,n
25,35,2,11,1,5,d,n
24,36,10,4,5,3,n,d
27,33,10,5,1,1,n,n
28,32,9,13,5,3,n,d
31,29,8,5,5,2,n,d
33,27,12,4,5,1,n,d
34,26,5,5,1,2,c,n
34,26,13,3,1,1,n,n
35,25,11,10,5,1,n,d
36,24,9,9,1,3,d,n
35,25,14,4,5,1,n,d
36,24,10,2,5,1,n,d
37,23,5,10,1,2,d,n
36,24,7,4,1,4,c,n
40,20,11,6,1,4,c,n
44,16,8,4,1,3,c,n
47,13,8,13,5,2,n,d
49,11,10,6,1,2,c,n
51,9,11,3,5,5,n,n
56,4,13,13,1,1,n,n
56,4,6,10,1,2,d,n
55,5,10,4,5,2,n,d
57,3,12,14,1,1,n,n
56,4,8,3,1,2,c,n
58,2,11,9,1,2,d,n
57,3,13,13,3,1,n,d
58,2,10,4,2,2,n,n
